game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
16,2,R02Gee,Sunday,2/4/17,H,Geelong,Gee,North Melbourne,Nor,Etihad Stadium,1:10 pm,D,VIC
17,2,R02Mel,Sunday,2/4/17,H,Melbourne,Mel,Carlton,Car,MCG,3:20 pm,D,VIC
18,2,R02Por,Sunday,2/4/17,H,Port Adelaide,Por,Fremantle,Fre,Adelaide Oval,4:40 pm,D,SA
19,3,R03Syd,Friday,7/4/17,H,Sydney,Syd,Collingwood,Col,SCG,7:50 pm,N,NSW
20,3,R03Nor,Saturday,8/4/17,H,North Melbourne,Nor,Greater Western Sydney,Gre,Blundstone Arena,1:45 pm,D,TAS
21,3,R03Ric,Saturday,8/4/17,H,Richmond,Ric,WCE,WCE,MCG,2:10 pm,D,VIC
22,3,R03Gee,Saturday,8/4/17,H,Geelong,Gee,Melbourne,Mel,Etihad Stadium,4:35 pm,T,VIC
23,3,R03Ade,Saturday,8/4/17,A,Adelaide,Ade,Port Adelaide,Por,Adelaide Oval,7:40 pm,N,SA
24,3,R03Fre,Saturday,8/4/17,H,Fremantle,Fre,Western Bulldogs,Wes,Domain Stadium,7:40 pm,N,WA
25,3,R03StK,Sunday,9/4/17,H,StKilda,StK,Brisbane,Bri,Etihad Stadium,1:10 pm,D,VIC
26,3,R03Car,Sunday,9/4/17,H,Carlton,Car,Essendon,Ess,MCG,3:20 pm,D,VIC
27,3,R03Gol,Sunday,9/4/17,H,Gold Coast,Gol,Hawthorn,Haw,Metricon Stadium,4:40 pm,T,QLD
28,4,R04WCE,Thursday,13/4/17,H,WCE,WCE,Sydney,Syd,Domain Stadium,8:10 pm,N,WA
29,4,R04Nor,Friday,14/4/17,H,North Melbourne,Nor,Western Bulldogs,Wes,Etihad Stadium,4:20 pm,T,VIC
30,4,R04Mel,Saturday,15/4/17,H,Melbourne,Mel,Fremantle,Fre,MCG,1:45 pm,D,VIC
31,4,R04Gre,Saturday,15/4/17,H,Greater Western Sydney,Gre,Port Adelaide,Por,Manuka Oval,4:35 pm,T,NSW
32,4,R04Car,Saturday,15/4/17,H,Carlton,Car,Gold Coast,Gol,Etihad Stadium,7:25 pm,N,VIC
33,4,R04Ade,Saturday,15/4/17,H,Adelaide,Ade,Essendon,Ess,Adelaide Oval,7:40 pm,N,SA
34,4,R04Col,Sunday,16/4/17,H,Collingwood,Col,StKilda,StK,Etihad Stadium,3:20 pm,D,VIC
35,4,R04Bri,Sunday,16/4/17,H,Brisbane,Bri,Richmond,Ric,Gabba,4:40 pm,T,QLD
36,4,R04Haw,Monday,17/4/17,H,Hawthorn,Haw,Geelong,Gee,MCG,3:20 pm,D,VIC
37,5,R05Por,Friday,21/4/17,H,Port Adelaide,Por,Carlton,Car,Adelaide Oval,7:50 pm,N,SA
38,5,R05Wes,Saturday,22/4/17,H,Western Bulldogs,Wes,Brisbane,Bri,Etihad Stadium,1:45 pm,D,VIC
39,5,R05Gol,Saturday,22/4/17,H,Gold Coast,Gol,Adelaide,Ade,Metricon Stadium,4:35 pm,T,QLD
40,5,R05Syd,Saturday,22/4/17,H,Sydney,Syd,Greater Western Sydney,Gre,SCG,7:25 pm,N,NSW
41,5,R05Fre,Saturday,22/4/17,H,Fremantle,Fre,North Melbourne,Nor,Domain Stadium,7:40 pm,N,WA
42,5,R05StK,Sunday,23/4/17,H,StKilda,StK,Geelong,Gee,Etihad Stadium,3:20 pm,D,VIC
43,5,R05Haw,Sunday,23/4/17,H,Hawthorn,Haw,WCE,WCE,MCG,4:40 pm,T,VIC
44,5,R05Ric,Monday,24/4/17,H,Richmond,Ric,Melbourne,Mel,MCG,7:25 pm,N,VIC
45,5,R05Ess,Tuesday,25/4/17,H,Essendon,Ess,Collingwood,Col,MCG,3:20 pm,D,VIC
46,6,R06Gre,Friday,28/4/17,H,Greater Western Sydney,Gre,Western Bulldogs,Wes,Manuka Oval,7:50 pm,N,NSW
47,6,R06Haw,Saturday,29/4/17,H,Hawthorn,Haw,StKilda,StK,University of Tasmania Stadium,1:45 pm,D,TAS
48,6,R06Car,Saturday,29/4/17,H,Carlton,Car,Sydney,Syd,MCG,2:10 pm,D,VIC
49,6,R06Bri,Saturday,29/4/17,H,Brisbane,Bri,Port Adelaide,Por,Gabba,4:35 pm,T,QLD
50,6,R06Nor,Saturday,29/4/17,H,North Melbourne,Nor,Gold Coast,Gol,Etihad Stadium,7:25 pm,N,VIC
51,6,R06WCE,Saturday,29/4/17,H,WCE,WCE,Fremantle,Fre,Domain Stadium,8:10 pm,N,WA
52,6,R06Ess,Sunday,30/4/17,H,Essendon,Ess,Melbourne,Mel,Etihad Stadium,1:10 pm,D,VIC
53,6,R06Gee,Sunday,30/4/17,H,Geelong,Gee,Collingwood,Col,MCG,3:20 pm,D,VIC
54,6,R06Ade,Sunday,30/4/17,H,Adelaide,Ade,Richmond,Ric,Adelaide Oval,4:40 pm,D,SA
55,7,R07StK,Friday,5/5/17,H,StKilda,StK,Greater Western Sydney,Gre,Etihad Stadium,7:50 pm,N,VIC
56,7,R07Nor,Saturday,6/5/17,H,North Melbourne,Nor,Adelaide,Ade,Blundstone Arena,1:45 pm,D,TAS
57,7,R07Col,Saturday,6/5/17,H,Collingwood,Col,Carlton,Car,MCG,2:10 pm,D,VIC
58,7,R07Por,Saturday,6/5/17,H,Port Adelaide,Por,WCE,WCE,Adelaide Oval,4:35 pm,T,SA
59,7,R07Gol,Saturday,6/5/17,H,Gold Coast,Gol,Geelong,Gee,Metricon Stadium,7:25 pm,N,QLD
60,7,R07Wes,Saturday,6/5/17,H,Western Bulldogs,Wes,Richmond,Ric,Etihad Stadium,7:25 pm,N,VIC
61,7,R07Syd,Sunday,7/5/17,H,Sydney,Syd,Brisbane,Bri,SCG,1:10 pm,D,NSW
